category_id,product_type,ember_primary_principle,ember_components,ember_css_tokens,ember_composition,ember_anti_patterns,ember_notes
79,Coding Bootcamp,composition,"AuthorityHero,KPIStrip,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",AuthorityHero + ServiceList + KPIStrip + TeamGrid + ContactForm,no hacker-cliché green on black;no generic bootcamp template;no fake job placement stats,IBM Plex Mono throughout data. Syne for program names. Amber on Apply CTA. TeamGrid for instructors.
80,Cybersecurity Platform,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no green matrix clichés;no hacker aesthetic;no decorative lock icons,IBM Plex Mono for threat IDs/CVEs. Color = threat severity. Amber for elevated threats. Real-time.
81,Developer Tool / IDE,restraint,"HeroPane,DataTable,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-mono,--color-text-muted",HeroPane + ServiceList + DataTable + FooterBlock,no syntax-rainbow decoration;no over-designed terminal aesthetic;no multiple code font weights,IBM Plex Mono dominant. Minimal chrome. Dark OLED base. Amber only for critical output signals.
82,Biotech / Life Sciences,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no DNA-graphic clichés;no lab-blue overload;no decorative molecule icons,IBM Plex Mono for compound IDs/values. Color = assay result status. Amber for anomalies.
83,Space Tech / Aerospace,motion,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no sci-fi neon overload;no slow star-field animations;no blue space clichés,Dark OLED maximum. IBM Plex Mono for telemetry. Filament sweep on live data. Amber for alerts.
84,Architecture / Interior,typography,"AuthorityHero,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TestimonialRail + ContactForm,no 3D render overload;no corporate blue palette;no template-builder look,Dark editorial portfolio. Syne for project names. Images shown full-bleed. Amber on CTA.
85,Quantum Computing Interface,motion,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-mono,--color-text-muted",KPIStrip + DataTable + ActivityFeed + StatsCard,no sci-fi graphic excess;no purple quantum clichés;no animated qubit overload,Maximum restraint on dark OLED. IBM Plex Mono for qubit states. Filament sweep on compute.
86,Biohacking / Longevity App,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono",KPIStrip + DataTable + ActivityFeed + StatsCard,no wellness-green overload;no clinical white clichés;no garish bio-data charts,IBM Plex Mono for biomarkers. Color = health status. Amber for out-of-range values.
87,Autonomous Drone Fleet Manager,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no sci-fi drone graphic overload;no slow map renders;no decorative status icons,IBM Plex Mono for drone IDs/coordinates. Color = fleet status. Amber for critical alerts.
88,Generative Art Platform,typography,"AuthorityHero,ServiceList,ActivityFeed,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ActivityFeed + ServiceList + TestimonialRail,no rainbow gradient overload;no busy gallery;no competing accent events per viewport,Dark editorial. Art shown full-bleed. Syne for artist/collection names. Amber on Mint CTA.
89,Spatial Computing OS / App,motion,"HeroPane,KPIStrip,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + KPIStrip + ActivityFeed + StatsCard,no VisionOS-imitation glass panels;no depth-effect overload;no floating UI clichés,Dark OLED foundation. IBM Plex Mono for spatial data. Filament sweep on spatial load states.
90,Sustainable Energy / Climate Tech,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono",KPIStrip + DataTable + ActivityFeed + StatsCard,no green-washing green overload;no earth-tone decoration;no soft eco-friendly UI,IBM Plex Mono for energy metrics. Color = output status. Amber for efficiency alerts.
91,Personal Finance Tracker,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no consumer finance app pastels;no gamified badge spam;no multiple colored categories,"IBM Plex Mono for all financial data. Green=income, red=expense, amber=budget alerts."
92,Chat & Messaging App,motion,"HeroPane,ActivityFeed,KPIStrip,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ActivityFeed + KPIStrip + NavBar,no bubble overload;no emoji palette clutter;no consumer-messenger UI copy,Breathing border on active conversations. Filament sweep on message send. Amber for unread count.
93,Notes & Writing App,restraint,"HeroPane,ServiceList,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + NavBar,no decorative editor UI;no multiple sidebar panels;no Word-like chrome,IBM Plex Mono for editor body. Minimal chrome. Amber only for unsaved/important states.
94,Habit Tracker,motion,"HeroPane,KPIStrip,StatsCard,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-surface-1,--font-display,--font-mono",HeroPane + KPIStrip + StatsCard + ActivityFeed,no streak-badge overload;no gamification rainbow;no daily reminder notification spam,IBM Plex Mono for streak counts. Amber for new streak achievements. Filament sweep on habit done.
95,Food Delivery / On-Demand,color-as-information,"HeroPane,ProductGrid,KPIStrip,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-warning,--color-surface-1,--font-mono",HeroPane + ProductGrid + KPIStrip + ActivityFeed,no consumer-delivery template copy;no red promo banners;no busy item grid,IBM Plex Mono for prices/ETAs. Color = order status. Amber for order placed/confirmed.
96,Ride Hailing / Transportation,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no consumer-app consumer UI copy;no animated car icons;no map-as-background hack,IBM Plex Mono for fare/distance data. Color = ride status. Amber for surge pricing alerts.
97,Recipe & Cooking App,typography,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no food-photo cluttered grid;no warm earthy consumer palette;no recipe-card overload,Dark editorial. Syne for recipe names at display scale. IBM Plex Mono for nutrition data.
98,Meditation & Mindfulness,restraint,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no fast animations;no bright colors;no notification overload,Calm dark. Slow transitions. Syne for session names. Amber only for completion moments.
99,Weather App,color-as-information,"HeroPane,KPIStrip,DataTable,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-warning,--color-danger,--font-mono",HeroPane + KPIStrip + DataTable + StatsCard,no gradient sky clichés;no animated weather icons;no consumer weather app copy,IBM Plex Mono for temperature/humidity data. Color = severity. Amber for weather alerts.
100,Diary & Journal App,restraint,"HeroPane,ActivityFeed,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--font-mono,--color-text-muted",HeroPane + ActivityFeed + ServiceList + NavBar,no decorative paper texture;no pastel journaling aesthetic;no greeting-card fonts,Quiet dark canvas. IBM Plex Mono for entries. Syne for dates. Amber for pinned/starred entries.
101,CRM & Client Management,composition,"AuthorityHero,KPIStrip,DataTable,ActivityFeed,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",KPIStrip + DataTable + ActivityFeed + AuthorityHero,no Salesforce clone look;no rainbow pipeline stages;no busy sidebar overload,IBM Plex Mono for deal values/dates. Amber for overdue tasks. Dark authority layout.
102,Inventory & Stock Management,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no spreadsheet clone aesthetic;no rainbow stock categories;no decorative warehouse icons,IBM Plex Mono for SKUs/quantities. Color = stock status. Amber for reorder threshold.
103,Flashcard & Study Tool,typography,"HeroPane,ServiceList,KPIStrip,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--font-mono,--color-text-muted",HeroPane + ServiceList + KPIStrip + TestimonialRail,no Anki-clone look;no rainbow deck categories;no confetti animation spam,IBM Plex Mono for card counts/review intervals. Syne for deck names. Amber on streak events.
104,Booking & Appointment App,composition,"HeroPane,ServiceList,DataTable,StatsCard,ContactForm","--color-bg,--color-accent,--color-success,--color-surface-1,--color-surface-2,--font-display",HeroPane + ServiceList + DataTable + StatsCard + ContactForm,no cluttered calendar UI;no rainbow service categories;no multiple CTA competition,Dark editorial. DataTable for availability. Syne for service names. Amber on Book CTA.
105,Invoice & Billing Tool,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no QuickBooks clone look;no rainbow invoice status badges;no busy table chrome,IBM Plex Mono for amounts/invoice numbers. Color = payment status. Amber for overdue.
106,Grocery & Shopping List,restraint,"HeroPane,ServiceList,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-success,--color-surface-1,--font-mono,--color-text",HeroPane + ServiceList + ActivityFeed + NavBar,no consumer grocery UI copy;no rainbow category tags;no animated cart,Functional dark. IBM Plex Mono for prices. Amber on checked/complete items. Clean list grid.
107,Timer & Pomodoro,restraint,"HeroPane,KPIStrip,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text-muted",HeroPane + KPIStrip + ActivityFeed + NavBar,no decorative tomato icons;no rainbow session categories;no gamification overlay,Minimal dark. IBM Plex Mono for timer display. Filament sweep on active session. Amber at end.
108,Parenting & Baby Tracker,restraint,"HeroPane,ServiceList,StatsCard,ActivityFeed,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + StatsCard + ActivityFeed,no pastel baby palette;no cartoon stork icons;no juvenile typography,Calm dark. Syne for milestone names. IBM Plex Mono for tracking data. Amber for missed milestones.
109,Scanner & Document Manager,restraint,"HeroPane,DataTable,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text,--color-text-muted",HeroPane + DataTable + ServiceList + NavBar,no document-pile clichés;no busy file tree chrome;no paper texture,Functional dark. IBM Plex Mono for file names/sizes. Amber on export/share actions.
110,Calendar & Scheduling App,composition,"HeroPane,DataTable,KPIStrip,ActivityFeed,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + DataTable + KPIStrip + ActivityFeed,no rainbow event categories;no Google Calendar clone;no busy sidebar overload,IBM Plex Mono for dates/times. Amber for today/now indicators. Breathing border on current event.
111,Password Manager,restraint,"HeroPane,DataTable,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text,--color-text-muted",HeroPane + DataTable + ServiceList + NavBar,no dark-pattern lock icons;no alarmist red security scores;no busy vault UI,Minimal trust dark. IBM Plex Mono for passwords/metadata. Amber on security alerts.
112,Expense Splitter / Bill Split,color-as-information,"HeroPane,KPIStrip,DataTable,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--font-mono,--color-surface-1",HeroPane + KPIStrip + DataTable + ActivityFeed,no consumer-app pastel;no Venmo-clone palette;no confetti on settle,"IBM Plex Mono for amounts. Green=settled, amber=you owe, red=owed to you. Clean list."
113,Voice Recorder & Memo,restraint,"HeroPane,ActivityFeed,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text-muted",HeroPane + ActivityFeed + ServiceList + NavBar,no waveform decoration;no consumer audio app copy;no bright recording indicator,Minimal dark. IBM Plex Mono for timestamps/durations. Filament sweep on active recording.
114,Bookmark & Read-Later,restraint,"HeroPane,ActivityFeed,DataTable,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ActivityFeed + DataTable + NavBar,no Pocket-clone look;no colorful tag rainbow;no cluttered reading list,Editorial dark. Syne for collection names. IBM Plex Mono for reading time/date. Amber for unread.
115,Translator App,restraint,"HeroPane,ServiceList,DataTable,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text,--color-text-muted",HeroPane + ServiceList + DataTable + NavBar,no flag overload;no Google Translate clone;no language-rainbow tags,Functional minimal dark. IBM Plex Mono for translation output. Amber on copy/save actions.
116,Calculator & Unit Converter,restraint,"HeroPane,ServiceList,DataTable,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text-muted",HeroPane + ServiceList + DataTable + NavBar,no neon calculator aesthetic;no iOS-clone look;no decorative buttons,Pure IBM Plex Mono. Dark OLED. Amber on active/selected operator. Minimal chrome.
117,Alarm & World Clock,restraint,"HeroPane,DataTable,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text-muted",HeroPane + DataTable + ActivityFeed + NavBar,no iOS clock clone;no rainbow timezone labels;no decorative clock faces,IBM Plex Mono for time display. Amber for active alarm. Minimal dark. No animation except state.
118,File Manager & Transfer,restraint,"HeroPane,DataTable,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text,--color-text-muted",HeroPane + DataTable + ServiceList + NavBar,no Finder clone look;no colorful file type icons;no decorative folder graphics,Functional dark. IBM Plex Mono for file names/sizes. Amber on transfer progress. Clean grid.
119,Email Client,composition,"HeroPane,ActivityFeed,DataTable,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + ActivityFeed + DataTable + NavBar,no Gmail clone palette;no rainbow label overload;no busy action toolbar,IBM Plex Mono for sender/subject metadata. Amber for unread count. Breathing border on focused email.
120,Casual Puzzle Game,motion,"HeroPane,KPIStrip,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + KPIStrip + ActivityFeed + NavBar,no rainbow game UI;no busy particle effects;no competing accent colors,Dark base. Amber for score/achievement highlights. Filament sweep on level load. Syne for scores.
121,Trivia & Quiz Game,motion,"HeroPane,KPIStrip,DataTable,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--font-display,--font-mono",HeroPane + KPIStrip + DataTable + ActivityFeed,no rainbow answer buttons;no leaderboard clutter;no confetti excess,IBM Plex Mono for scores/timers. Color = answer correct/wrong. Amber for hint usage.
122,Card & Board Game,typography,"HeroPane,ServiceList,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + NavBar,no busy card art overload;no rainbow suit colors;no tablecloth texture clichés,Dark editorial. Syne for game names. Amber for player turn indicator. Minimal decoration.
123,Idle & Clicker Game,motion,"HeroPane,KPIStrip,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-surface-1,--color-surface-2,--font-mono",HeroPane + KPIStrip + ActivityFeed + StatsCard,no number-spam visual;no rainbow upgrade tiers;no busy particle effects,IBM Plex Mono for large numbers. Amber for key upgrade milestones. Filament sweep on auto-collect.
124,Word & Crossword Game,typography,"HeroPane,ServiceList,DataTable,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--font-mono,--color-text-muted",HeroPane + ServiceList + DataTable + NavBar,no Wordle-clone green/yellow overload;no busy letter grid decoration;no serif font mismatch,IBM Plex Mono for letter grid. Syne for game name/score. Amber for correct placement.
125,Arcade & Retro Game,motion,"HeroPane,KPIStrip,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + KPIStrip + ActivityFeed + StatsCard,no neon retro clichés;no CRT filter overuse;no rainbow pixel art overload,Dark OLED. IBM Plex Mono for high scores. Amber for high score events. Breathing border on active.
126,Photo Editor & Filters,restraint,"HeroPane,ServiceList,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + NavBar,no busy toolbar decoration;no filter-preview rainbow;no consumer app clichés,Minimal dark. IBM Plex Mono for values/settings. Amber on Save/Export CTA.
127,Short Video Editor,motion,"HeroPane,KPIStrip,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + KPIStrip + ActivityFeed + NavBar,no TikTok clone palette;no rainbow timeline tracks;no busy toolbar chrome,Dark OLED. IBM Plex Mono for timecode. Filament sweep on export. Amber for selected clips.
128,Drawing & Sketching Canvas,restraint,"HeroPane,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-mono,--color-text,--color-text-muted",HeroPane + ServiceList + NavBar + FooterBlock,no Procreate-clone chrome;no rainbow tool palette;no busy UI around canvas,Minimal dark chrome. IBM Plex Mono for tool settings. Amber on active tool indicator.
129,Music Creation & Beat Maker,motion,"HeroPane,KPIStrip,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-mono,--color-text-muted",HeroPane + KPIStrip + ActivityFeed + NavBar,no rainbow track colors;no busy DAW chrome;no slow waveform render,Dark OLED. IBM Plex Mono for BPM/note values. Filament sweep on playback. Amber for beat markers.
130,Meme & Sticker Maker,typography,"HeroPane,ServiceList,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + NavBar,no rainbow sticker grid;no Gen Z chaos layout;no multiple competing fonts,Dark editorial. Syne for trending template names. Amber on Create CTA.
131,AI Photo & Avatar Generator,motion,"HeroPane,ServiceList,ActivityFeed,KPIStrip,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + ServiceList + ActivityFeed + KPIStrip,no purple AI gradient clichés;no stock robot imagery;no busy style picker grid,Dark OLED. Filament sweep on generation. Syne for style names. Amber on Generate CTA.
132,Link-in-Bio Page Builder,composition,"HeroPane,ServiceList,KPIStrip,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + KPIStrip + TestimonialRail,no Linktree clone layout;no rainbow link buttons;no busy bio template,Dark editorial. Syne for creator name. IBM Plex Mono for click stats. Amber on primary link.
133,Wardrobe & Outfit Planner,typography,"HeroPane,ServiceList,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + NavBar,no pastel fashion clichés;no rainbow wardrobe categories;no busy clothing grid,Dark editorial. Syne for outfit/collection names. Amber on Save Outfit CTA.
134,Plant Care Tracker,restraint,"HeroPane,ServiceList,StatsCard,ActivityFeed,ContactForm","--color-bg,--color-accent,--color-success,--color-surface-1,--font-display,--color-text-muted",HeroPane + ServiceList + StatsCard + ActivityFeed,no green plant clichés;no earthy consumer palette;no childish leaf icons,Calm dark. IBM Plex Mono for watering schedules. Amber for overdue plant care.
135,Book & Reading Tracker,typography,"HeroPane,ServiceList,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + StatsCard,no Goodreads clone look;no cover-art grid overload;no serif editorial excess,Editorial dark. Syne for book titles. IBM Plex Mono for page counts/reading speed.
136,Couple & Relationship App,restraint,"HeroPane,ServiceList,ActivityFeed,ContactForm,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + ContactForm,no heart-overload clichés;no pink/red palette;no cute cartoon style,Warm dark. Syne for memory/event names. Amber for anniversaries. Minimal and intimate.
137,Family Calendar & Chores,composition,"HeroPane,DataTable,KPIStrip,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-surface-1,--color-surface-2,--font-display",HeroPane + DataTable + KPIStrip + ActivityFeed,no primary-color family palette;no busy chore chart decoration;no consumer calendar clone,Dark household-authority. IBM Plex Mono for chore data. Amber for overdue tasks.
138,Mood Tracker,color-as-information,"HeroPane,KPIStrip,StatsCard,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-warning,--color-danger,--font-mono,--color-surface-1",HeroPane + KPIStrip + StatsCard + ActivityFeed,no emoji overload;no rainbow mood palette;no gamified mood badges,Color = mood severity (minimal spectrum). IBM Plex Mono for mood scores. Amber for trend alerts.
139,Gift & Wishlist,typography,"HeroPane,ServiceList,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + NavBar,no consumer gifting clichés;no wrapped-present icons;no holiday palette,Dark editorial. Syne for wishlist names. Amber on Share/Buy CTA.
140,Running & Cycling GPS,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no Strava-clone orange overload;no busy route map decoration;no neon green sports palette,IBM Plex Mono for pace/distance/HR data. Color = performance zones. Amber for personal records.
141,Yoga & Stretching Guide,restraint,"HeroPane,ServiceList,ActivityFeed,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + ActivityFeed + TestimonialRail,no wellness-green overload;no meditative stock photos;no slow-fade animation excess,Calm dark editorial. Syne for pose names. Amber on Begin Session CTA. Minimal and clean.
142,Sleep Tracker,color-as-information,"KPIStrip,DataTable,StatsCard,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-warning,--color-danger,--font-mono",KPIStrip + DataTable + StatsCard + ActivityFeed,no blue light irony;no soft dreamy palette;no star decoration,Dark OLED (eye-safe). IBM Plex Mono for sleep scores. Color = sleep quality. Amber for alerts.
143,Calorie & Nutrition Counter,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono",KPIStrip + DataTable + ActivityFeed + StatsCard,no food-photo clutter;no rainbow macros;no consumer nutrition app copy,IBM Plex Mono for macros/calories. Color = goal status. Amber for over-budget nutrition.
144,Period & Cycle Tracker,color-as-information,"HeroPane,KPIStrip,StatsCard,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-warning,--color-surface-1,--font-mono",HeroPane + KPIStrip + StatsCard + ActivityFeed,no pink period-app clichés;no flower decoration;no generic cycle calendar UI,Calm dark. IBM Plex Mono for cycle data. Color = phase. Amber for predicted peak/fertile.
145,Medication & Pill Reminder,color-as-information,"HeroPane,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono",HeroPane + DataTable + ActivityFeed + StatsCard,no pill-box clichés;no clinical white on dark;no alarm red overuse,IBM Plex Mono for med names/times. Color = taken/missed/upcoming. Amber for missed doses.
146,Water & Hydration Reminder,restraint,"HeroPane,KPIStrip,ActivityFeed,NavBar,FooterBlock","--color-bg,--color-accent,--color-success,--color-surface-1,--font-mono,--color-text-muted",HeroPane + KPIStrip + ActivityFeed + NavBar,no blue water wave decoration;no water drop icons;no consumer health app palette,Minimal dark. IBM Plex Mono for ml/oz data. Amber for behind-on-goal states.
147,Fasting & Intermittent Timer,motion,"HeroPane,KPIStrip,StatsCard,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-surface-1,--font-mono,--color-text-muted",HeroPane + KPIStrip + StatsCard + ActivityFeed,no religious/dietary imagery;no fast-food clichés;no generic health app copy,IBM Plex Mono for countdown display. Filament sweep on active fast. Amber on fast complete.
148,Anonymous Community / Confession,restraint,"HeroPane,ActivityFeed,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ActivityFeed + ServiceList + NavBar,no dark-web aesthetic;no shock content UI design;no rainbow reaction badges,Calm dark. Anonymous by design. Syne for community name. Amber on pinned posts.
149,Local Events & Discovery,composition,"HeroPane,ServiceList,KPIStrip,ActivityFeed,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ServiceList + KPIStrip + ActivityFeed,no Eventbrite clone;no rainbow event category tags;no busy map overlay,Editorial dark. Syne for event names. IBM Plex Mono for dates/prices. Amber for today's events.
150,Study Together / Virtual Coworking,motion,"HeroPane,ActivityFeed,KPIStrip,TeamGrid,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + ActivityFeed + KPIStrip + TeamGrid,no Zoom-grid clichés;no busy room status UI;no consumer coworking template,Breathing border on active study rooms. IBM Plex Mono for focus timer. Amber for new joiners.
151,Coding Challenge & Practice,composition,"HeroPane,DataTable,KPIStrip,ActivityFeed,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + DataTable + KPIStrip + ActivityFeed,no LeetCode clone palette;no rainbow difficulty badges;no busy submission history,IBM Plex Mono throughout. Dark OLED. Amber for personal bests. Syne for challenge names.
152,Kids Learning (ABC & Math),restraint,"HeroPane,ServiceList,KPIStrip,ActivityFeed,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + KPIStrip + ActivityFeed,no primary color overload for marketing site;no cartoon excess on parent-facing UI,Parent-facing dark professional. Syne for curriculum names. Amber on Start Free Trial CTA.
153,Music Instrument Learning,typography,"HeroPane,ServiceList,KPIStrip,TestimonialRail,PricingCard","--color-bg,--color-accent,--color-surface-1,--font-display,--font-mono,--color-text-muted",HeroPane + ServiceList + KPIStrip + TestimonialRail + PricingCard,no music-note clichés;no concert poster excess;no generic music app copy,IBM Plex Mono for BPM/notation data. Syne for instrument names. Amber on Start Learning CTA.
154,Parking Finder,color-as-information,"HeroPane,KPIStrip,DataTable,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono",HeroPane + KPIStrip + DataTable + ActivityFeed,no consumer parking app copy;no animated car park icons;no slow map renders,IBM Plex Mono for prices/availability. Color = spot status. Amber for limited availability.
155,Public Transit Guide,color-as-information,"HeroPane,KPIStrip,DataTable,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",HeroPane + KPIStrip + DataTable + ActivityFeed,no transit-map rainbow lines overload;no consumer travel app look;no cluttered stop list,IBM Plex Mono for arrival times/line numbers. Color = line/status. Amber for service alerts.
